prodcode,productname
9396,Zamadol SR 100mg capsules (Meda Pharmaceuticals Ltd)
9739,Tramadol 100mg effervescent powder sachets sugar free
11101,Zydol 50mg soluble tablets (Grunenthal Ltd)
11275,Zydol 100mg/2ml solution for injection ampoules (Grunenthal Ltd)
11471,Tramadol 100mg/2ml solution for injection ampoules
11549,Tramadol 75mg modified-release tablets
11559,Tramadol 50mg effervescent powder sachets sugar free
11734,Tramadol 50mg orodispersible tablets sugar free
11746,Tramadol 300mg modified-release tablets
11748,Tramadol 400mg modified-release tablets
13813,Zamadol 50mg capsules (Meda Pharmaceuticals Ltd)
14490,Tramake 50mg capsules (Galen Ltd)
16271,Zydol XL 300mg tablets (Grunenthal Ltd)
16395,Zydol XL 200mg tablets (Grunenthal Ltd)
19993,Dromadol SR 100mg tablets (Teva UK Ltd)
20310,Zamadol Melt 50mg tablets (Meda Pharmaceuticals Ltd)
21256,Tramake Insts 50mg sachets (Galen Ltd)
21397,Zydol XL 400mg tablets (Grunenthal Ltd)
21777,Dromadol SR 200mg tablets (Teva UK Ltd)
21797,Zamadol SR 200mg capsules (Meda Pharmaceuticals Ltd)
21947,Zydol XL 150mg tablets (Grunenthal Ltd)
23625,Dromadol SR 150mg tablets (Teva UK Ltd)
23981,Zamadol SR 150mg capsules (Meda Pharmaceuticals Ltd)
24383,Tramake Insts 100mg sachets (Galen Ltd)
26336,Dromadol XL 300mg tablets (IVAX Pharmaceuticals UK Ltd)
26986,Zamadol 24hr 200mg modified-release tablets (Meda Pharmaceuticals Ltd)
27591,Zamadol 24hr 150mg modified-release tablets (Meda Pharmaceuticals Ltd)
28728,Zamadol 24hr 300mg modified-release tablets (Meda Pharmaceuticals Ltd)
29324,Dromadol SR 75mg tablets (IVAX Pharmaceuticals UK Ltd)
29860,Tramadol 50mg capsules (IVAX Pharmaceuticals UK Ltd)
31105,Dromadol XL 200mg tablets (IVAX Pharmaceuticals UK Ltd)
31107,Dromadol XL 150mg tablets (IVAX Pharmaceuticals UK Ltd)
31734,Dromadol XL 400mg tablets (IVAX Pharmaceuticals UK Ltd)
32165,Tramadol 50mg Capsule (Generics (UK) Ltd)
32450,Zamadol 24hr 400mg modified-release tablets (Meda Pharmaceuticals Ltd)
34065,Tramadol sr 150mg Modified-release tablet (Winthrop Pharmaceuticals Ltd)
34260,Tramadol sr 100mg Modified-release tablet (Winthrop Pharmaceuticals Ltd)
34281,Tramadol sr 200mg Modified-release tablet (Winthrop Pharmaceuticals Ltd)
34422,Tramadol 50mg capsules (Actavis UK Ltd)
34521,Tramadol 50mg capsules (A A H Pharmaceuticals Ltd)
34570,Tramadol 50mg capsules (Teva UK Ltd)
34639,Tramadol 50mg capsules (Genus Pharmaceuticals Ltd)
34808,Tramadol 50mg capsules (PLIVA Pharma Ltd)
35347,Tramadol 24 Modified-release tablet
35438,Tramquel SR 100mg capsules (Beechmere Pharmaceuticals Ltd)
35651,Tradorec XL 200mg tablets (Paladin Labs Europe Ltd)
35656,Tradorec XL 100mg tablets (Paladin Labs Europe Ltd)
35806,Larapam SR 100mg tablets (Sandoz Ltd)
36035,Tradorec XL 300mg tablets (Paladin Labs Europe Ltd)
36697,Mabron 200mg modified-release tablets (Morningside Healthcare Ltd)
36732,Tramadol 50mg modified-release tablets
36873,Zydol SR 50mg tablets (Grunenthal Ltd)
36949,Tramquel SR 50mg capsules (Beechmere Pharmaceuticals Ltd)
37020,Tramadol 150mg modified-release tablets
37021,Tramadol 200mg modified-release tablets
37831,Mabron 100mg modified-release tablets (Morningside Healthcare Ltd)
37867,Tramadol (roi) Tablet
38196,Larapam SR 200mg tablets (Sandoz Ltd)
38528,Tramadol 50mg Capsule (Tillomed Laboratories Ltd)
38874,Zamadol 100mg/2ml solution for injection ampoules (Meda Pharmaceuticals Ltd)
38956,Tramquel SR 200mg capsules (Beechmere Pharmaceuticals Ltd)
39505,Marol 100mg modified-release tablets (Morningside Healthcare Ltd)
39709,Marol 200mg modified-release tablets (Morningside Healthcare Ltd)
39750,Marol 150mg modified-release tablets (Morningside Healthcare Ltd)
39798,Nobligan retard 100mg tablets (Grunenthal Ltd)
39811,Maxitram SR 200mg capsules (Chiesi Ltd)
40058,Tramulief SR 100mg tablets (AMCo)
40060,Tramulief SR 200mg tablets (AMCo)
40061,Tramulief SR 150mg tablets (AMCo)
40166,Tramadol 50mg capsules (Niche Generics Ltd)
40249,Maxitram SR 100mg capsules (Chiesi Ltd)
40254,Maxitram SR 50mg capsules (Chiesi Ltd)
40718,Tramadol 50mg capsules (Almus Pharmaceuticals Ltd)
40805,Tramquel SR 150mg capsules (Beechmere Pharmaceuticals Ltd)
40883,Maxitram SR 150mg capsules (Chiesi Ltd)
40926,Larapam SR 150mg tablets (Sandoz Ltd)
41976,Tramadol 100mg modified-release tablets (A A H Pharmaceuticals Ltd)
42798,Tramadol 150mg modified-release tablets (A A H Pharmaceuticals Ltd)
43198,Tramadol sr 50mg Capsule (Hillcross Pharmaceuticals Ltd)
43513,Tramadol 50mg capsules (Zentiva)
44371,Mabron 150mg modified-release tablets (Morningside Healthcare Ltd)
46279,Tramadol 200mg modified-release capsules (A A H Pharmaceuticals Ltd)
46587,Tramadol 100mg/ml oral drops
46643,Zeridame SR 150mg tablets (Actavis UK Ltd)
47854,Tramadol (roi) Tablet
48090,Tramadol 200mg modified-release tablets (A A H Pharmaceuticals Ltd)
49323,Marol 150mg modified-release tablets (Teva UK Ltd)
49324,Marol 100mg modified-release tablets (Teva UK Ltd)
50862,Marol 200mg modified-release tablets (Teva UK Ltd)
50947,Tramadol 100mg modified-release capsules (Alliance Healthcare (Distribution) Ltd)
52495,Tramadol 50mg capsules (Bristol Laboratories Ltd)
52605,Tramadol 50mg capsules (Accord Healthcare Ltd)
52977,Tramadol 100mg modified-release capsules (A A H Pharmaceuticals Ltd)
54023,Tramadol 50mg modified-release capsules (A A H Pharmaceuticals Ltd)
56491,Zamadol SR 200mg capsules (Lexon (UK) Ltd)
58129,Zeridame SR 100mg tablets (Actavis UK Ltd)
58316,Tramadol 50mg modified-release capsules (DE Pharmaceuticals)
60121,Tramadol 50mg modified-release capsules (Waymade Healthcare Plc)
60751,Tilodol SR 200mg tablets (Sandoz Ltd)
61272,Tramadol 50mg capsules (Phoenix Healthcare Distribution Ltd)
61610,Tramadol 50mg capsules (Morningside Healthcare Ltd)
61775,Tramadol 50mg capsules (Sigma Pharmaceuticals Plc)
63047,Tramadol 100mg modified-release capsules (Waymade Healthcare Plc)
63898,Tramadol 50mg modified-release capsules (J M McGill Ltd)
64496,Tramadol 100mg modified-release capsules (Ennogen Healthcare Ltd)
64731,Tramadol 100mg modified-release capsules (Icarus Pharmaceuticals Ltd)
64871,Maneo 100mg modified-release tablets (Mylan)
65266,Tramadol 50mg capsules (Kent Pharmaceuticals Ltd)
65954,Tramadol 50mg modified-release capsules (Cubic Pharmaceuticals Ltd)
66299,Maneo 200mg modified-release tablets (Mylan)
66729,Tilodol SR 100mg tablets (Sandoz Ltd)
67161,Tramadol 150mg modified-release capsules (A A H Pharmaceuticals Ltd)
67197,Tramadol 50mg capsules (DE Pharmaceuticals)
67310,Zydol SR 200mg tablets (Mawdsley-Brooks & Company Ltd)
67323,Zydol SR 150mg tablets (Waymade Healthcare Plc)
67744,Zydol 50mg capsules (Lexon (UK) Ltd)
68210,Tramadol 100mg modified-release tablets (Elite Pharma (Surrey) Ltd)
68427,Tramadol 50mg modified-release capsules (CST Pharma Ltd)
3239,Meptazinol 200mg tablets
8447,Meptid 200mg Tablet (Shire Pharmaceuticals Ltd)
10925,Meptid 100mg/1ml solution for injection ampoules (Almirall Ltd)
11801,Meptazinol 100mg/1ml solution for injection ampoules
39842,Meptid 200mg tablets (Almirall Ltd)
45800,Tapentadol 200mg modified-release tablets
45811,Tapentadol 50mg tablets
45936,Palexia 50mg tablets (Grunenthal Ltd)
45982,Palexia SR 50mg tablets (Grunenthal Ltd)
46018,Tapentadol 100mg modified-release tablets
46019,Tapentadol 150mg modified-release tablets
46020,Palexia SR 100mg tablets (Grunenthal Ltd)
46021,Tapentadol 50mg modified-release tablets
46022,Palexia 75mg tablets (Grunenthal Ltd)
46159,Palexia SR 150mg tablets (Grunenthal Ltd)
46461,Tapentadol 75mg tablets
46659,Palexia SR 200mg tablets (Grunenthal Ltd)
47399,Tapentadol 250mg modified-release tablets
47460,Palexia SR 250mg tablets (Grunenthal Ltd)
61764,Palexia 20mg/ml oral solution (Grunenthal Ltd)
18,Omeprazole 20mg gastro-resistant capsules
89,Omeprazole 10mg gastro-resistant capsules
276,Losec 10mg gastro-resistant capsules (AstraZeneca UK Ltd)
1232,Losec 20mg gastro-resistant capsules (AstraZeneca UK Ltd)
1451,Omeprazole 40mg gastro-resistant capsules
4654,Losec 40mg gastro-resistant capsules (AstraZeneca UK Ltd)
4921,Omeprazole 20mg dispersible gastro-resistant tablets
4955,Omeprazole 40mg dispersible gastro-resistant tablets
5232,Omeprazole 10mg dispersible gastro-resistant tablets
5236,Losec MUPS 20mg gastro-resistant tablets (AstraZeneca UK Ltd)
6114,Omeprazole 20mg gastro-resistant tablets
7255,Omeprazole 20mg/5ml oral suspension
9825,Losec MUPS 40mg gastro-resistant tablets (AstraZeneca UK Ltd)
9851,Omeprazole 10mg gastro-resistant tablets
9989,Omeprazole 40mg gastro-resistant tablets
13015,Losec MUPS 10mg gastro-resistant tablets (AstraZeneca UK Ltd)
13282,Omeprazole 5mg/5ml oral suspension
15275,Omeprazole 10mg gastro-resistant capsules (Teva UK Ltd)
22709,Losec Infusion 40mg powder for solution for infusion vials (AstraZeneca UK Ltd)
24360,Heartburn relief 10mg Tablet (Galpharm International Ltd)
25245,Omeprazole 40mg powder and solvent for solution for injection vials
26537,Omeran 20mg gastro-resistant tablets (Ranbaxy (UK) Ltd)
29422,Losec 40mg Injection (AstraZeneca UK Ltd)
29457,Omeprazole 20mg gastro-resistant capsules (IVAX Pharmaceuticals UK Ltd)
29468,Omeprazole 40mg gastro-resistant capsules (IVAX Pharmaceuticals UK Ltd)
29835,Omeprazole 40mg powder for solution for infusion vials
30926,Omeprazole 10mg gastro-resistant capsules (IVAX Pharmaceuticals UK Ltd)
31213,Omeran 10mg gastro-resistant tablets (Ranbaxy (UK) Ltd)
32914,Omeprazole 10mg gastro-resistant tablets (Sandoz Ltd)
32919,Omeprazole 20mg gastro-resistant tablets (Mylan)
32924,Omeprazole 20mg gastro-resistant tablets (Sandoz Ltd)
33022,Zanprol 10mg gastro-resistant tablets (Omega Pharma Ltd)
33326,Omeprazole 10mg gastro-resistant tablets (Teva UK Ltd)
33565,Omeprazole 20mg Tablet (Neo Laboratories Ltd)
33873,Losec I.V. 40mg powder and solvent for solution for injection vials (AstraZeneca UK Ltd)
34302,Omeprazole 20mg gastro-resistant capsules (Mylan)
34332,Omeprazole 10mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)
34411,Omeprazole 20mg gastro-resistant capsules (Teva UK Ltd)
34568,Omeprazole 10mg gastro-resistant capsules (Mylan)
34571,Omeprazole 10mg gastro-resistant capsules (Sandoz Ltd)
34577,Omeprazole 20mg gastro-resistant capsules (Sandoz Ltd)
34791,Omeprazole 40mg gastro-resistant capsules (Mylan)
34792,Omeprazole 10mg gastro-resistant capsules (Accord Healthcare Ltd)
34812,Omeprazole 20mg Gastro-resistant capsule (Niche Generics Ltd)
34841,Omeprazole 20mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)
34843,Omeprazole 20mg gastro-resistant capsules (Dexcel-Pharma Ltd)
34967,Omeprazole 20mg gastro-resistant capsules (Accord Healthcare Ltd)
34984,Heartburn relief 10mg Tablet (A A H Pharmaceuticals Ltd)
35101,Omeprazole 10mg/5ml oral suspension
35257,Omeprazole 40mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)
35383,Omeprazole 20mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)
35698,Mepradec 20mg gastro-resistant capsules (Dexcel-Pharma Ltd)
35699,Mepradec 10mg gastro-resistant capsules (Dexcel-Pharma Ltd)
36046,Omeprazole 40mg Gastro-resistant capsule (Teva UK Ltd)
36892,Omeprazole 10mg gastro-resistant tablets (Dexcel-Pharma Ltd)
41992,Omeprazole 10mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)
42091,Omeprazole 20mg gastro-resistant tablets (Dexcel-Pharma Ltd)
42114,Omeran 40mg gastro-resistant tablets (Ranbaxy (UK) Ltd)
42533,Omeprazole 20mg gastro-resistant capsules (Focus Pharmaceuticals Ltd)
42736,Omeprazole 20mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)
42898,Omeprazole 10mg gastro-resistant tablets (Actavis UK Ltd)
42900,Omeprazole 20mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd)
43957,Omeprazole 20mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)
44252,Omeprazole 20mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd)
45173,Omeprazole 20mg gastro-resistant capsules (Almus Pharmaceuticals Ltd)
47511,Omeprazole 5mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd)
49163,Omeprazole 20mg gastro-resistant capsules (Zentiva)
49433,Omeprazole 40mg/5ml oral solution
49584,Omeprazole 8mg/5ml oral solution
50365,Omeprazole 8.5mg/5ml oral solution
50372,Omeprazole 15mg/5ml oral suspension
51260,Omeprazole 20mg gastro-resistant capsules (Arrow Generics Ltd)
51357,Omeprazole 15mg/5ml oral solution
52379,Omeprazole 25mg/5ml oral solution
52612,Losec 20mg gastro-resistant capsules (Lexon (UK) Ltd)
52866,Omeprazole 4mg/5ml oral solution
52971,Losec MUPS 10mg gastro-resistant tablets (Lexon (UK) Ltd)
53337,Omeprazole 10mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd)
53518,Omeprazole 2mg/5ml oral suspension
54683,Mezzopram 10mg dispersible gastro-resistant tablets (Sandoz Ltd)
55168,Omeprazole 10mg dispersible gastro-resistant tablets (A A H Pharmaceuticals Ltd)
55468,Omeprazole 20mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)
55700,Omeprazole 3mg/5ml oral suspension
55744,Omeprazole 20mg gastro-resistant capsules (Zanza Specials International Ltd)
55745,Losec 10mg gastro-resistant capsules (Lexon (UK) Ltd)
56235,Omeprazole 12.5mg/5ml oral solution
56432,Omeprazole 6.8mg/5ml oral solution
56433,Omeprazole 35mg/5ml oral solution
56479,Losec 20mg gastro-resistant capsules (Waymade Healthcare Plc)
56895,Omeprazole 50mg/5ml oral solution
57177,Omeprazole 20mg gastro-resistant capsules (Bristol Laboratories Ltd)
57528,Losec 20mg gastro-resistant capsules (Dowelhurst Ltd)
57541,Omeprazole 10mg gastro-resistant tablets (Sterwin Medicines)
57566,Omeprazole 20mg dispersible gastro-resistant tablets (A A H Pharmaceuticals Ltd)
57648,Omeprazole 10mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)
57738,Omeprazole 4mg/5ml oral suspension
58066,Omeprazole 8mg/5ml oral suspension
58216,Omeprazole 20mg gastro-resistant capsules (Kent Pharmaceuticals Ltd)
58236,Mezzopram 20mg dispersible gastro-resistant tablets (Sandoz Ltd)
58332,Omeprazole 20mg gastro-resistant capsules (Somex Pharma)
58344,Omeprazole 50mg/5ml oral suspension
58946,Omeprazole 10mg gastro-resistant capsules (Waymade Healthcare Plc)
59135,Omeprazole 2.5mg/5ml oral suspension
59547,Omeprazole 40mg/5ml oral suspension
59725,Omeprazole 25mg/5ml oral suspension
60230,Omeprazole 10mg/5ml oral solution
60403,Omeprazole 20mg/5ml oral solution
60409,Omeprazole 20mg dispersible gastro-resistant tablets (Waymade Healthcare Plc)
61029,Omeprazole 20mg gastro-resistant capsules (Genesis Pharmaceuticals Ltd)
62166,Omeprazole 2mg/5ml oral solution
63283,Omeprazole 3mg/5ml oral solution
63324,Omeprazole 10mg gastro-resistant capsules (Almus Pharmaceuticals Ltd)
63402,Omeprazole 10mg gastro-resistant capsules (Ranbaxy (UK) Ltd)
63608,Omeprazole 40mg gastro-resistant capsules (PLIVA Pharma Ltd)
63691,Omeprazole 500micrograms/5ml oral solution
66552,Omeprazole 10mg gastro-resistant capsules (Dexcel-Pharma Ltd)
66573,Omeprazole 20mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd)
66643,Mezzopram 40mg dispersible gastro-resistant tablets (Sandoz Ltd)
66903,Omeprazole 12.5mg/5ml oral suspension
68028,Omeprazole 40mg gastro-resistant capsules (Wockhardt UK Ltd)
69899,Omeprazole 20mg gastro-resistant capsules (DE Pharmaceuticals)
70170,Omeprazole 6.8mg/5ml oral suspension
70797,Omeprazole 5mg/5ml oral solution
70830,Omeprazole 40mg gastro-resistant capsules (Sandoz Ltd)
71065,Omeprazole 40mg gastro-resistant capsules (Almus Pharmaceuticals Ltd)
71881,Omeprazole 10mg gastro-resistant capsules (Dowelhurst Ltd)
71992,Omeprazole 7mg/5ml oral suspension
72435,Omeprazole 10mg gastro-resistant capsules (Tillomed Laboratories Ltd)
73053,Omeprazole 40mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)
73427,Omeprazole 10mg gastro-resistant capsules (PLIVA Pharma Ltd)
73710,Omeprazole 8.5mg/5ml oral suspension
73958,Omeprazole 10mg/5ml oral solution (Special Order)
74033,Omeprazole 20mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
74124,Omeprazole 40mg gastro-resistant capsules (Bristol Laboratories Ltd)
74635,Omeprazole 40mg gastro-resistant tablets (Dexcel-Pharma Ltd)
74846,Losec 10mg gastro-resistant capsules (Waymade Healthcare Plc)
75382,Losec 20mg gastro-resistant capsules (Sigma Pharmaceuticals Plc)
75543,Losec MUPS 10mg gastro-resistant tablets (Necessity Supplies Ltd)
75772,Omeprazole 40mg gastro-resistant tablets (Sandoz Ltd)
75925,Omeprazole 40mg gastro-resistant capsules (DE Pharmaceuticals)
75982,Omeprazole 20mg gastro-resistant capsules (Milpharm Ltd)
76313,Omeprazole 40mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)
76900,Omeprazole 3.5mg/5ml oral suspension
77126,Omeprazole 40mg gastro-resistant capsules (Teva UK Ltd)
77379,Losec 10mg gastro-resistant capsules (Dowelhurst Ltd)
77692,Omeprazole 10mg gastro-resistant tablets (Mylan)
78302,Omeprazole 35mg/5ml oral suspension
79141,Omeprazole 30mg/5ml oral suspension
79296,Omeprazole 10mg/5ml oral suspension (Drug Tariff Special Order)
79611,Omeprazole 20mg gastro-resistant capsules (NorthStar Healthcare Unlimited Company)
79678,Omeprazole 20mg gastro-resistant tablets (Ranbaxy (UK) Ltd)
1986,Pantoprazole 40mg gastro-resistant tablets
5419,Pantoprazole 20mg gastro-resistant tablets
6165,Protium 20mg gastro-resistant tablets (Nycomed UK Ltd)
6727,Protium 40mg gastro-resistant tablets (Nycomed UK Ltd)
17111,Pantoprazole 40mg powder for solution for injection vials
28192,PANTOPRAZOLE
44023,Pantoloc Control 20mg gastro-resistant tablets (GlaxoSmithKline Consumer Healthcare)
44700,Protium I.V. 40mg powder for solution for injection vials (Takeda UK Ltd)
49375,Pantoprazole 20mg gastro-resistant tablets (Takeda UK Ltd)
51804,Pantoprazole 20mg gastro-resistant tablets (Arrow Generics Ltd)
54693,Pantoprazole 20mg gastro-resistant tablets (Accord Healthcare Ltd)
59390,Pantoprazole 40mg gastro-resistant tablets (Takeda UK Ltd)
59711,Pantoprazole 20mg gastro-resistant tablets (Teva UK Ltd)
64750,Pantoprazole 40mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)
65710,Pantoprazole 40mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
67327,Protium 40mg gastro-resistant tablets (Waymade Healthcare Plc)
68430,Pantoprazole 20mg/5ml oral suspension
70804,Pantoprazole 20mg gastro-resistant tablets (Brown & Burk UK Ltd)
72696,Pantoprazole 40mg gastro-resistant tablets (Teva UK Ltd)
73386,Pantoprazole 40mg gastro-resistant tablets (Accord Healthcare Ltd)
74781,Pantoprazole 20mg gastro-resistant tablets (Sandoz Ltd)
75372,Pantoprazole 40mg gastro-resistant tablets (Macleods Pharma UK Ltd)
75389,Pantoprazole 20mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)
75400,Pantoprazole 20mg gastro-resistant tablets (Wockhardt UK Ltd)
75604,Pantoprazole 20mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
77404,Protium 40mg gastro-resistant tablets (Dowelhurst Ltd)
30,Lansoprazole 15mg gastro-resistant capsules
39,Lansoprazole 30mg gastro-resistant capsules
519,Zoton 30mg gastro-resistant capsules (Wyeth Pharmaceuticals)
1947,Zoton 15mg gastro-resistant capsules (Wyeth Pharmaceuticals)
5358,Lansoprazole 30mg gastro-resistant granules sachets
6063,Zoton FasTab 30mg (Pfizer Ltd)
6245,Lansoprazole 15mg orodispersible tablets
6291,Zoton FasTab 15mg (Pfizer Ltd)
6300,Lansoprazole 30mg orodispersible tablets
10098,Zoton 30mg gastro-resistant granules sachets (Wyeth Pharmaceuticals)
37815,Lansoprazole 30mg gastro-resistant capsules (Sandoz Ltd)
39904,Lansoprazole 15mg gastro-resistant capsules (Sandoz Ltd)
40759,Lansoprazole 15mg gastro-resistant capsules (Teva UK Ltd)
40896,Lansoprazole 30mg gastro-resistant capsules (Teva UK Ltd)
42382,Lansoprazole 30mg gastro-resistant capsules (Almus Pharmaceuticals Ltd)
42532,Lansoprazole 30mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)
42730,Lansoprazole 30mg gastro-resistant capsules (IVAX Pharmaceuticals UK Ltd)
43057,Lansoprazole 30mg gastro-resistant capsules (Mylan)
44753,Lansoprazole 30mg gastro-resistant capsules (Consilient Health Ltd)
47909,Lansoprazole 30mg gastro-resistant capsules (Arrow Generics Ltd)
48063,Lansoprazole 30mg gastro-resistant capsules (Zentiva)
49209,Lansoprazole 7.5mg/5ml oral solution
50492,Lansoprazole 30mg gastro-resistant capsules (Sigma Pharmaceuticals Plc)
51290,Zoton FasTab 15mg (Mawdsley-Brooks & Company Ltd)
53616,Lansoprazole 5mg/5ml oral solution
53871,Lansoprazole 30mg gastro-resistant capsules (Actavis UK Ltd)
54121,Lansoprazole 15mg/5ml oral solution
54188,Lansoprazole 30mg gastro-resistant capsules (Phoenix Healthcare Distribution Ltd)
54939,Lansoprazole 15mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)
55439,Lansoprazole 15mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)
57158,Lansoprazole 30mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)
57504,Zoton FasTab 30mg (Waymade Healthcare Plc)
57572,Zoton 15mg gastro-resistant capsules (Dowelhurst Ltd)
58679,Lansoprazole 15mg gastro-resistant capsules (Actavis UK Ltd)
59106,Lansoprazole 30mg/5ml oral solution
59404,Lansoprazole 30mg gastro-resistant capsules (Sovereign Medical Ltd)
59586,Lansoprazole 30mg gastro-resistant capsules (Kent Pharmaceuticals Ltd)
60537,Lansoprazole 30mg gastro-resistant capsules (DE Pharmaceuticals)
60615,Lansoprazole 30mg orodispersible tablets (A A H Pharmaceuticals Ltd)
60900,Lansoprazole 15mg/5ml oral suspension
62031,Lansoprazole 15mg gastro-resistant capsules (DE Pharmaceuticals)
62549,Lansoprazole 15mg orodispersible tablets (Alliance Healthcare (Distribution) Ltd)
63125,Lansoprazole 5mg/5ml oral suspension
63831,Lansoprazole 30mg/5ml oral suspension
64445,Lansoprazole 4mg/5ml oral solution
66348,Lansoprazole 15mg gastro-resistant capsules (Bristol Laboratories Ltd)
67270,Zoton FasTab 30mg (Mawdsley-Brooks & Company Ltd)
67385,Lansoprazole 15mg gastro-resistant capsules (Sovereign Medical Ltd)
67577,Lansoprazole 15mg gastro-resistant capsules (Mylan)
67811,Lansoprazole 10mg oral powder sachets
68305,Lansoprazole 10mg/5ml oral solution
68873,Lansoprazole 30mg gastro-resistant capsules (Bristol Laboratories Ltd)
69314,Lansoprazole 10mg/5ml oral suspension
69769,Lansoprazole 3mg/5ml oral solution
70649,Lansoprazole 15mg gastro-resistant capsules (Zentiva)
71087,Lansoprazole 15mg gastro-resistant capsules (Almus Pharmaceuticals Ltd)
72144,Lansoprazole 30mg orodispersible tablets (Mylan)
73957,Lansoprazole 15mg orodispersible tablets (Teva UK Ltd)
75046,Lansoprazole 40mg/5ml oral suspension
75762,Lansoprazole 30mg gastro-resistant capsules (Niche Generics Ltd)
76346,Lansoprazole 15mg gastro-resistant capsules (Arrow Generics Ltd)
76436,Zoton FasTab 15mg (Sigma Pharmaceuticals Plc)
77723,Lansoprazole 15mg orodispersible tablets (Mylan)
79126,Lansoprazole 20mg/5ml oral solution
79304,Lansoprazole 15mg oral powder sachets
79788,Lansoprazole 30mg orodispersible tablets (Alliance Healthcare (Distribution) Ltd)
79822,Lansoprazole 3.75mg/5ml oral solution
80212,Lansoprazole 7.5mg/5ml oral suspension
80224,Lansoprazole 3mg/5ml oral suspension
1941,Pariet 20mg gastro-resistant tablets (Eisai Ltd)
1977,Rabeprazole 10mg gastro-resistant tablets
2151,Rabeprazole 20mg gastro-resistant tablets
5834,Pariet 10mg gastro-resistant tablets (Eisai Ltd)
20391,RABEPRAZOLE SODIUM
21356,RABEPRAZOLE SODIUM
58030,Rabeprazole 10mg gastro-resistant tablets (Accord Healthcare Ltd)
58475,Rabeprazole 20mg gastro-resistant tablets (Zentiva)
59296,Rabeprazole 10mg gastro-resistant tablets (Zentiva)
60588,Rabeprazole 20mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)
60590,Rabeprazole 20mg gastro-resistant tablets (Actavis UK Ltd)
71666,Rabeprazole 20mg gastro-resistant tablets (Teva UK Ltd)
73987,Pariet 20mg gastro-resistant tablets (Sigma Pharmaceuticals Plc)
74024,Pariet 20mg gastro-resistant tablets (Waymade Healthcare Plc)
74044,Pariet 10mg gastro-resistant tablets (Waymade Healthcare Plc)
77424,Pariet 20mg gastro-resistant tablets (DE Pharmaceuticals)
18225,Esomeprazole 40mg powder for solution for injection vials
25596,Nexium I.V 40mg powder for solution for injection vials (AstraZeneca UK Ltd)
5178,Esomeprazole 20mg gastro-resistant tablets
5269,Nexium 20mg gastro-resistant tablets (AstraZeneca UK Ltd)
5604,Esomeprazole 40mg gastro-resistant tablets
6490,Nexium 40mg gastro-resistant tablets (AstraZeneca UK Ltd)
41454,Nexium 10mg gastro-resistant granules sachets (AstraZeneca UK Ltd)
41501,Esomeprazole 10mg gastro-resistant granules sachets
51548,Nexium 20mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd)
53843,Esomeprazole 40mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)
61504,Esomeprazole 20mg gastro-resistant tablets (Teva UK Ltd)
64332,Nexium Control 20mg gastro-resistant tablets (Pfizer Consumer Healthcare Ltd)
65719,Nexium 20mg gastro-resistant tablets (DE Pharmaceuticals)
69714,Esomeprazole 40mg/5ml oral suspension
69798,Esomeprazole 20mg gastro-resistant tablets (Actavis UK Ltd)
75804,Esomeprazole 40mg gastro-resistant tablets (Actavis UK Ltd)
76437,Esomeprazole 20mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)
77585,Esomeprazole 20mg gastro-resistant tablets (Ranbaxy (UK) Ltd)
79732,Guardium acid reflux control 20mg gastro-resistant tablets (Reckitt Benckiser Healthcare (UK) Ltd)
79989,Esomeprazole 40mg gastro-resistant tablets (Teva UK Ltd)
43948,Esomeprazole 40mg gastro-resistant capsules
43995,Esomeprazole 20mg gastro-resistant capsules
46744,Emozul 20mg gastro-resistant capsules (Consilient Health Ltd)
46745,Emozul 40mg gastro-resistant capsules (Consilient Health Ltd)
